Officer,Summons Count,WG2,TYPE
M. JACOBSEN #0138,84,Unknown,Unknown
M. ONEILL #0327,48,Unknown,Unknown
D. FRANCAVILLA #0329,39,Unknown,Unknown
N. MAZZACCARO #0377,33,Unknown,Unknown
A. LIGGIO #0388,17,Unknown,Unknown
