Period,Delivery_Type,Cost
01-25,In-Person,515
01-25,Online,0
02-25,In-Person,1479
02-25,Online,0
03-25,In-Person,2878
03-25,Online,0
04-25,In-Person,2059
04-25,Online,0
05-25,In-Person,3260
05-25,Online,0
06-25,In-Person,4125
06-25,Online,0
07-25,In-Person,375
07-25,Online,0
08-25,In-Person,2075
08-25,Online,0
09-25,In-Person,2320
09-25,Online,0
10-25,In-Person,2673
10-25,Online,0
11-25,In-Person,4704
11-25,Online,0
12-25,In-Person,4034
12-25,Online,570
