Tracked Items,Period,First Value
Escort(s),04-25,0
Escort(s),05-25,5
Escort(s),06-25,0
Escort(s),07-25,1
Escort(s),08-25,0
Escort(s),09-25,1
Escort(s),10-25,0
Escort(s),11-25,0
Fatal Incident(s),11-24,0
Fatal Incident(s),12-24,0
Fatal Incident(s),01-25,0
Fatal Incident(s),02-25,0
Fatal Incident(s),03-25,0
Fatal Incident(s),04-25,0
Fatal Incident(s),05-25,0
Fatal Incident(s),06-25,0
Fatal Incident(s),07-25,0
Fatal Incident(s),08-25,0
Fatal Incident(s),09-25,0
Fatal Incident(s),10-25,0
Fatal Incident(s),11-25,0
Motor Vehicle Stop(s),11-24,65
Motor Vehicle Stop(s),12-24,93
Motor Vehicle Stop(s),01-25,47
Motor Vehicle Stop(s),02-25,40
Motor Vehicle Stop(s),03-25,41
Motor Vehicle Stop(s),04-25,24
Motor Vehicle Stop(s),05-25,38
Motor Vehicle Stop(s),06-25,43
Motor Vehicle Stop(s),07-25,23
Motor Vehicle Stop(s),08-25,71
Motor Vehicle Stop(s),09-25,29
Motor Vehicle Stop(s),10-25,49
Motor Vehicle Stop(s),11-25,66
Motor Vehicle Warrant,11-24,0
Motor Vehicle Warrant,12-24,0
Motor Vehicle Warrant,01-25,0
Motor Vehicle Warrant,02-25,0
Motor Vehicle Warrant,03-25,0
Motor Vehicle Warrant,04-25,0
Motor Vehicle Warrant,05-25,0
Motor Vehicle Warrant,06-25,0
Motor Vehicle Warrant,07-25,0
Motor Vehicle Warrant,08-25,1
Motor Vehicle Warrant,09-25,0
Motor Vehicle Warrant,10-25,0
Motor Vehicle Warrant,11-25,0
Moving Summon(s) Issued,11-24,208
Moving Summon(s) Issued,12-24,220
Moving Summon(s) Issued,01-25,121
Moving Summon(s) Issued,02-25,127
Moving Summon(s) Issued,03-25,143
Moving Summon(s) Issued,04-25,104
Moving Summon(s) Issued,05-25,137
Moving Summon(s) Issued,06-25,127
Moving Summon(s) Issued,07-25,153
Moving Summon(s) Issued,08-25,206
Moving Summon(s) Issued,09-25,210
Moving Summon(s) Issued,10-25,163
Moving Summon(s) Issued,11-25,74
Officer-Involved Accident(s) Review(s),11-24,6
Officer-Involved Accident(s) Review(s),12-24,0
Officer-Involved Accident(s) Review(s),01-25,1
Officer-Involved Accident(s) Review(s),02-25,3
Officer-Involved Accident(s) Review(s),03-25,0
Officer-Involved Accident(s) Review(s),04-25,0
Officer-Involved Accident(s) Review(s),05-25,1
Officer-Involved Accident(s) Review(s),06-25,0
Officer-Involved Accident(s) Review(s),07-25,1
Officer-Involved Accident(s) Review(s),08-25,4
Officer-Involved Accident(s) Review(s),09-25,1
Officer-Involved Accident(s) Review(s),10-25,0
Officer-Involved Accident(s) Review(s),11-25,0
Parking Fees Collected,06-25,80726
Parking Fees Collected,07-25,154390
Parking Fees Collected,08-25,131961
Parking Fees Collected,09-25,164649
Parking Fees Collected,10-25,130465
Parking Fees Collected,11-25,128048
Parking Summon(s) Issued,11-24,1779
Parking Summon(s) Issued,12-24,1660
Parking Summon(s) Issued,01-25,2020
Parking Summon(s) Issued,02-25,1826
Parking Summon(s) Issued,03-25,2561
Parking Summon(s) Issued,04-25,2574
Parking Summon(s) Issued,05-25,2533
Parking Summon(s) Issued,06-25,2149
Parking Summon(s) Issued,07-25,3422
Parking Summon(s) Issued,08-25,2942
Parking Summon(s) Issued,09-25,3800
Parking Summon(s) Issued,10-25,2998
Parking Summon(s) Issued,11-25,1880
Self-Initiated Arrest,11-24,0
Self-Initiated Arrest,12-24,0
Self-Initiated Arrest,01-25,0
Self-Initiated Arrest,02-25,0
Self-Initiated Arrest,03-25,0
Self-Initiated Arrest,04-25,0
Self-Initiated Arrest,05-25,0
Self-Initiated Arrest,06-25,0
Self-Initiated Arrest,07-25,0
Self-Initiated Arrest,08-25,1
Self-Initiated Arrest,09-25,0
Self-Initiated Arrest,10-25,0
Self-Initiated Arrest,11-25,0
Total - Arrest(s),11-24,0
Total - Arrest(s),12-24,0
Total - Arrest(s),01-25,0
Total - Arrest(s),02-25,0
Total - Arrest(s),03-25,0
Total - Arrest(s),04-25,0
Total - Arrest(s),05-25,5
Total - Arrest(s),06-25,1
Total - Arrest(s),07-25,0
Total - Arrest(s),08-25,5
Total - Arrest(s),09-25,5
Total - Arrest(s),10-25,4
Total - Arrest(s),11-25,3
