TrackedItem,Month_Year,Sum of Total
MV Stops,04-25,0
MV Stops,05-25,0
MV Stops,06-25,0
MV Stops,07-25,0
MV Stops,08-25,0
MV Stops,09-25,0
MV Stops,10-25,0
MV Stops,11-25,0
MV Stops,12-25,0
MV Stops,01-26,5
Parking Summonses,01-25,15
Parking Summonses,02-25,2
Parking Summonses,03-25,11
Parking Summonses,04-25,0
Parking Summonses,05-25,0
Parking Summonses,06-25,0
Parking Summonses,07-25,0
Parking Summonses,08-25,0
Parking Summonses,09-25,0
Parking Summonses,10-25,0
Parking Summonses,11-25,0
Parking Summonses,12-25,0
Parking Summonses,01-26,7
School Drills,01-25,1
School Drills,02-25,0
School Drills,03-25,0
School Drills,04-25,0
School Drills,05-25,0
School Drills,06-25,0
School Drills,07-25,0
School Drills,08-25,0
School Drills,09-25,0
School Drills,10-25,0
School Drills,11-25,0
School Drills,12-25,0
School Drills,01-26,0
Tabletop Exercises,01-25,0
Tabletop Exercises,02-25,0
Tabletop Exercises,03-25,0
Tabletop Exercises,04-25,0
Tabletop Exercises,05-25,0
Tabletop Exercises,06-25,0
Tabletop Exercises,07-25,0
Tabletop Exercises,08-25,0
Tabletop Exercises,09-25,0
Tabletop Exercises,10-25,0
Tabletop Exercises,11-25,0
Tabletop Exercises,12-25,0
Tabletop Exercises,01-26,0
Targeted Area Patrols,01-25,74
Targeted Area Patrols,02-25,46
Targeted Area Patrols,03-25,0
Targeted Area Patrols,04-25,0
Targeted Area Patrols,05-25,0
Targeted Area Patrols,06-25,0
Targeted Area Patrols,07-25,0
Targeted Area Patrols,08-25,0
Targeted Area Patrols,09-25,0
Targeted Area Patrols,10-25,0
Targeted Area Patrols,11-25,0
Targeted Area Patrols,12-25,0
Targeted Area Patrols,01-26,41
Threat Assessments Received,01-25,0
Threat Assessments Received,02-25,0
Threat Assessments Received,03-25,1
Threat Assessments Received,04-25,0
Threat Assessments Received,05-25,0
Threat Assessments Received,06-25,0
Threat Assessments Received,07-25,0
Threat Assessments Received,08-25,0
Threat Assessments Received,09-25,0
Threat Assessments Received,10-25,0
Threat Assessments Received,11-25,0
Threat Assessments Received,12-25,0
Threat Assessments Received,01-26,2
Warrants Executed,01-25,1
Warrants Executed,02-25,0
Warrants Executed,03-25,0
Warrants Executed,04-25,0
Warrants Executed,05-25,0
Warrants Executed,06-25,0
