Platform,11-24,12-24,01-25,02-25,03-25, 04-25,05-25,06-25,07-25,08-25,09-25,10-25,11-25
Facebook,48,48,25,27,67,26,28,50,52,68,52,73,44
Instagram,43,48,25,28,66,25,27,48,51,66,51,72,44
SharePoint,6,3,7,5,4,3,7,0,4,0,1,6,4
Threads,17,20,12,17,27,20,18,30,21,27,19,36,27
Twitter/X,0,0,0,0,8,0,0,0,0,0,0,0,0
