Tracked Items,11-24,12-24,01-25,02-25,03-25,04-25,05-25,06-25,07-25,08-25,09-25,10-25,11-25
Arrive Program Referral,22,18,21,17,35,25,37,22,16,9,26,23,13
BWC Reviews,22,52,96,57,77,78,60,62,75,88,79,64,88
Calls for Service,6074,5999,6291,5546,6830,6826,6619,6589,6745,7214,6713,7254,6830
CDS Arrest(s),3,0,2,0,0,1,0,1,1,2,1,1,1
DUI Arrest(s),1,8,5,2,1,1,5,2,5,3,4,4,5
DV Arrest(s),13,16,12,9,10,8,18,7,11,12,12,9,12
DV Incident(s),26,39,31,19,36,31,56,34,43,36,29,26,33
Handle with Care Notifications,10,17,12,23,26,31,32,27,15,8,21,33,20
Mental Health Calls,40,27,42,38,48,37,51,29,41,33,39,45,50
Motor Vehicle Stops,126,168,137,103,114,258,114,108,171,349,189,194,178
Narcan Deployment,0,0,0,1,0,1,1,1,0,0,1,0,1
Overdose(s),1,3,2,1,2,2,2,1,1,2,2,0,1
Pursuit Review,1,1,0,0,0,0,0,0,0,0,0,0,0
Self-Initiated Arrest(s),19,6,15,9,13,9,19,10,20,16,12,18,13
Tasks,1484,1351,1604,1532,2109,1867,1812,1666,1760,1821,1775,1955,1801
Total Moving Summons,212,39,283,158,267,293,162,161,212,453,200,330,58
Total Parking Summons,520,154,738,504,552,536,548,441,480,532,461,517,437
Use of Force Review,2,4,1,1,2,5,0,0,5,0,8,6,3
