Tracked Items ,Sum of Value,Month_MM_YY
Summons Issued - Total MV,0,04-25
Summons Issued - Total MV,0,05-25
Summons Issued - Total MV,0,06-25
Summons Issued - Total MV,0,07-25
Summons Issued - Total MV,0,08-25
Summons Issued - Total MV,0,09-25
Summons Issued - Total MV,0,10-25
Summons Issued - Total MV,0,11-25
Summons Issued - Total MV,0,12-25
Summons Issued - Total MV,0,01-26
Suspicious Incident,3,01-25
Suspicious Incident,1,02-25
Suspicious Incident,2,03-25
Suspicious Incident,3,04-25
Suspicious Incident,3,05-25
Suspicious Incident,1,06-25
Suspicious Incident,0,07-25
Suspicious Incident,1,08-25
Suspicious Incident,1,09-25
Suspicious Incident,1,10-25
Suspicious Incident,0,11-25
Suspicious Incident,3,12-25
Suspicious Incident,2,01-26
Suspicious Person,0,01-25
Suspicious Person,0,02-25
Suspicious Person,0,03-25
Suspicious Person,0,04-25
Suspicious Person,0,05-25
Suspicious Person,0,06-25
Suspicious Person,0,07-25
Suspicious Person,0,08-25
Suspicious Person,3,09-25
Suspicious Person,0,10-25
Suspicious Person,0,11-25
Suspicious Person,1,12-25
Suspicious Person,0,01-26
Terroristic Threats,2,01-25
Terroristic Threats,2,02-25
Terroristic Threats,2,03-25
Terroristic Threats,1,04-25
Terroristic Threats,1,05-25
Terroristic Threats,1,06-25
Terroristic Threats,0,07-25
Terroristic Threats,0,08-25
Terroristic Threats,0,09-25
Terroristic Threats,2,10-25
Terroristic Threats,0,11-25
Terroristic Threats,1,12-25
Terroristic Threats,0,01-26
Theft,0,01-25
Theft,0,02-25
Theft,0,03-25
Theft,1,04-25
Theft,1,05-25
Theft,1,06-25
Theft,1,07-25
Theft,0,08-25
Theft,0,09-25
Theft,0,10-25
Theft,2,11-25
Theft,0,12-25
Theft,1,01-26
Threat Assessments,0,01-25
Threat Assessments,0,02-25
Threat Assessments,0,03-25
Threat Assessments,0,04-25
Threat Assessments,0,05-25
Threat Assessments,0,06-25
Threat Assessments,0,07-25
Threat Assessments,0,08-25
Threat Assessments,0,09-25
Threat Assessments,1,10-25
Threat Assessments,0,11-25
Threat Assessments,0,12-25
Threat Assessments,1,01-26
Trespassing,2,01-25
Trespassing,0,02-25
Trespassing,0,03-25
Trespassing,0,04-25
Trespassing,3,05-25
Trespassing,0,06-25
Trespassing,0,07-25
Trespassing,0,08-25
Trespassing,0,09-25
Trespassing,2,10-25
Trespassing,0,11-25
Trespassing,0,12-25
Trespassing,0,01-26
Underage Possession of Alcohol,0,01-25
Underage Possession of Alcohol,0,02-25
Underage Possession of Alcohol,0,03-25
Underage Possession of Alcohol,0,04-25
Underage Possession of Alcohol,0,05-25
Underage Possession of Alcohol,0,06-25
Underage Possession of Alcohol,0,07-25
Underage Possession of Alcohol,0,08-25
Underage Possession of Alcohol,0,09-25
Underage Possession of Alcohol,0,10-25
Underage Possession of Alcohol,0,11-25
Underage Possession of Alcohol,0,12-25
Underage Possession of Alcohol,0,01-26
Underage Possession of CDs,0,01-25
Underage Possession of CDs,0,02-25
Underage Possession of CDs,0,03-25
Underage Possession of CDs,0,04-25
Underage Possession of CDs,0,05-25
Underage Possession of CDs,0,06-25
Underage Possession of CDs,0,07-25
Underage Possession of CDs,0,08-25
Underage Possession of CDs,0,09-25
Underage Possession of CDs,0,10-25
Underage Possession of CDs,0,11-25
Underage Possession of CDs,1,12-25
Underage Possession of CDs,0,01-26
Weapons,0,01-25
Weapons,0,02-25
Weapons,0,03-25
Weapons,0,04-25
Weapons,0,05-25
Weapons,0,06-25
Weapons,0,07-25
Weapons,0,08-25
Weapons,0,09-25
Weapons,1,10-25
Weapons,1,11-25
Weapons,0,12-25
Weapons,0,01-26
Welfare Checks,0,01-25
Welfare Checks,0,02-25
Welfare Checks,0,03-25
Welfare Checks,4,04-25
Welfare Checks,1,05-25
Welfare Checks,0,06-25
Welfare Checks,1,07-25
Welfare Checks,2,08-25
Welfare Checks,0,09-25
Welfare Checks,3,10-25
Welfare Checks,2,11-25
Welfare Checks,5,12-25
Welfare Checks,0,01-26
