Tracked Items,Month,Sum of Total
Request(s) - Good Conduct Letter(s),09-25,4
Request(s) - Good Conduct Letter(s),10-25,5
Request(s) - Good Conduct Letter(s),11-25,4
Request(s) - Good Conduct Letter(s),12-25,6
Request(s) - Good Conduct Letter(s),01-26,2
Request(s) - OPRA,01-25,62
Request(s) - OPRA,02-25,51
Request(s) - OPRA,03-25,45
Request(s) - OPRA,04-25,60
Request(s) - OPRA,05-25,51
Request(s) - OPRA,06-25,57
Request(s) - OPRA,07-25,66
Request(s) - OPRA,08-25,72
Request(s) - OPRA,09-25,66
Request(s) - OPRA,10-25,45
Request(s) - OPRA,11-25,46
Request(s) - OPRA,12-25,43
Request(s) - OPRA,01-26,39
Request(s) - Record(s),01-25,349
Request(s) - Record(s),02-25,271
Request(s) - Record(s),03-25,276
Request(s) - Record(s),04-25,273
Request(s) - Record(s),05-25,343
Request(s) - Record(s),06-25,347
Request(s) - Record(s),07-25,337
Request(s) - Record(s),08-25,275
Request(s) - Record(s),09-25,328
Request(s) - Record(s),10-25,395
Request(s) - Record(s),11-25,290
Request(s) - Record(s),12-25,471
Request(s) - Record(s),01-26,439
Request(s) - U-Visa,01-25,0
Request(s) - U-Visa,02-25,1
Request(s) - U-Visa,03-25,1
Request(s) - U-Visa,04-25,1
Request(s) - U-Visa,05-25,0
Request(s) - U-Visa,06-25,1
Request(s) - U-Visa,07-25,2
Request(s) - U-Visa,08-25,1
Request(s) - U-Visa,09-25,0
Request(s) - U-Visa,10-25,0
Request(s) - U-Visa,11-25,3
Request(s) - U-Visa,12-25,0
Request(s) - U-Visa,01-26,2
