Tracked Items,Month_MM_YY,Sum of Value
Criminal Sexual Contact,01-26,0
Criminal Trespass,01-25,3
Criminal Trespass,02-25,2
Criminal Trespass,03-25,1
Criminal Trespass,04-25,0
Criminal Trespass,05-25,0
Criminal Trespass,06-25,0
Criminal Trespass,07-25,0
Criminal Trespass,08-25,0
Criminal Trespass,09-25,1
Criminal Trespass,10-25,0
Criminal Trespass,11-25,1
Criminal Trespass,12-25,0
Criminal Trespass,01-26,0
DOA,01-25,0
DOA,02-25,3
DOA,03-25,2
DOA,04-25,1
DOA,05-25,1
DOA,06-25,2
DOA,07-25,3
DOA,08-25,1
DOA,09-25,1
DOA,10-25,4
DOA,11-25,1
DOA,12-25,1
DOA,01-26,3
Domestic Violence,01-25,0
Domestic Violence,02-25,0
Domestic Violence,03-25,1
Domestic Violence,04-25,3
Domestic Violence,05-25,2
Domestic Violence,06-25,3
Domestic Violence,07-25,4
Domestic Violence,08-25,1
Domestic Violence,09-25,3
Domestic Violence,10-25,0
Domestic Violence,11-25,4
Domestic Violence,12-25,2
Domestic Violence,01-26,2
Drug Investigation(s),01-25,3
Drug Investigation(s),02-25,0
Drug Investigation(s),03-25,0
Drug Investigation(s),04-25,0
Drug Investigation(s),05-25,0
Drug Investigation(s),06-25,0
Drug Investigation(s),07-25,0
Drug Investigation(s),08-25,0
Drug Investigation(s),09-25,0
Drug Investigation(s),10-25,0
Drug Investigation(s),11-25,0
Drug Investigation(s),12-25,0
Drug Investigation(s),01-26,0
Drug-Related Arrest(s),01-25,3
Drug-Related Arrest(s),02-25,0
Drug-Related Arrest(s),03-25,0
Drug-Related Arrest(s),04-25,0
Drug-Related Arrest(s),05-25,0
Drug-Related Arrest(s),06-25,0
Drug-Related Arrest(s),07-25,0
Drug-Related Arrest(s),08-25,0
Drug-Related Arrest(s),09-25,0
Drug-Related Arrest(s),10-25,0
Drug-Related Arrest(s),11-25,0
Drug-Related Arrest(s),12-25,0
Drug-Related Arrest(s),01-26,0
