Tracked Items,Sum of Value,Month_MM_YY
Suspicious Incident(s),2,06-25
Suspicious Incident(s),12,07-25
Suspicious Incident(s),8,08-25
Suspicious Incident(s),1,09-25
Suspicious Incident(s),4,10-25
Suspicious Incident(s),7,11-25
Suspicious Incident(s),4,12-25
Suspicious Incident(s),2,01-26
Suspicious Person(s),3,01-25
Suspicious Person(s),0,02-25
Suspicious Person(s),0,03-25
Suspicious Person(s),1,04-25
Suspicious Person(s),0,05-25
Suspicious Person(s),0,06-25
Suspicious Person(s),0,07-25
Suspicious Person(s),2,08-25
Suspicious Person(s),0,09-25
Suspicious Person(s),2,10-25
Suspicious Person(s),0,11-25
Suspicious Person(s),2,12-25
Suspicious Person(s),0,01-26
Terroristic Threats,6,01-25
Terroristic Threats,4,02-25
Terroristic Threats,1,03-25
Terroristic Threats,1,04-25
Terroristic Threats,2,05-25
Terroristic Threats,1,06-25
Terroristic Threats,4,07-25
Terroristic Threats,0,08-25
Terroristic Threats,5,09-25
Terroristic Threats,4,10-25
Terroristic Threats,1,11-25
Terroristic Threats,2,12-25
Terroristic Threats,1,01-26
Theft,49,01-25
Theft,61,02-25
Theft,23,03-25
Theft,27,04-25
Theft,24,05-25
Theft,34,06-25
Theft,46,07-25
Theft,34,08-25
Theft,24,09-25
Theft,21,10-25
Theft,30,11-25
Theft,35,12-25
Theft,26,01-26
