Tracked Items,Sum of Total,Month
Investigation Review - Second Hand Jewelry,0,10-25
Investigation Review - Second Hand Jewelry,0,11-25
Investigation Review - Second Hand Jewelry,0,12-25
Investigation Review - Second Hand Jewelry,0,01-26
Investigative Review - Threat Assessment,0,01-25
Investigative Review - Threat Assessment,0,02-25
Investigative Review - Threat Assessment,0,03-25
Investigative Review - Threat Assessment,0,04-25
Investigative Review - Threat Assessment,0,05-25
Investigative Review - Threat Assessment,0,06-25
Investigative Review - Threat Assessment,0,07-25
Investigative Review - Threat Assessment,0,08-25
Investigative Review - Threat Assessment,0,09-25
Investigative Review - Threat Assessment,0,10-25
Investigative Review - Threat Assessment,0,11-25
Investigative Review - Threat Assessment,0,12-25
Investigative Review - Threat Assessment,0,01-26
Investigative Review - Training,15,01-25
Investigative Review - Training,29,02-25
Investigative Review - Training,12,03-25
Investigative Review - Training,3,04-25
Investigative Review - Training,2,05-25
Investigative Review - Training,2,06-25
Investigative Review - Training,7,07-25
Investigative Review - Training,13,08-25
Investigative Review - Training,7,09-25
Investigative Review - Training,0,10-25
Investigative Review - Training,0,11-25
Investigative Review - Training,0,12-25
Investigative Review - Training,9,01-26
Permit - Conceal Carry - Denied,0,01-25
Permit - Conceal Carry - Denied,0,02-25
Permit - Conceal Carry - Denied,1,03-25
Permit - Conceal Carry - Denied,0,04-25
Permit - Conceal Carry - Denied,0,05-25
Permit - Conceal Carry - Denied,0,06-25
Permit - Conceal Carry - Denied,0,07-25
Permit - Conceal Carry - Denied,0,08-25
Permit - Conceal Carry - Denied,0,09-25
Permit - Conceal Carry - Denied,1,10-25
Permit - Conceal Carry - Denied,0,11-25
Permit - Conceal Carry - Denied,0,12-25
Permit - Conceal Carry - Denied,0,01-26
Permit - Conceal Carry - Issued,14,01-25
Permit - Conceal Carry - Issued,13,02-25
Permit - Conceal Carry - Issued,8,03-25
Permit - Conceal Carry - Issued,10,04-25
Permit - Conceal Carry - Issued,7,05-25
Permit - Conceal Carry - Issued,6,06-25
Permit - Conceal Carry - Issued,8,07-25
Permit - Conceal Carry - Issued,10,08-25
Permit - Conceal Carry - Issued,8,09-25
Permit - Conceal Carry - Issued,9,10-25
Permit - Conceal Carry - Issued,4,11-25
Permit - Conceal Carry - Issued,6,12-25
Permit - Conceal Carry - Issued,9,01-26
Permit - Flashing Light,54,01-25
Permit - Flashing Light,0,02-25
Permit - Flashing Light,0,03-25
Permit - Flashing Light,0,04-25
Permit - Flashing Light,24,05-25
Permit - Flashing Light,7,06-25
Permit - Flashing Light,0,07-25
Permit - Flashing Light,0,08-25
Permit - Flashing Light,0,09-25
Permit - Flashing Light,0,10-25
Permit - Flashing Light,0,11-25
Permit - Flashing Light,0,12-25
Permit - Flashing Light,0,01-26
Police Involved Motor Vehicle Accident,2,01-25
Police Involved Motor Vehicle Accident,1,02-25
Police Involved Motor Vehicle Accident,0,03-25
Police Involved Motor Vehicle Accident,0,04-25
Police Involved Motor Vehicle Accident,0,05-25
Police Involved Motor Vehicle Accident,0,06-25
Police Involved Motor Vehicle Accident,0,07-25
Police Involved Motor Vehicle Accident,2,08-25
Police Involved Motor Vehicle Accident,1,09-25
Police Involved Motor Vehicle Accident,0,10-25
Police Involved Motor Vehicle Accident,0,11-25
Police Involved Motor Vehicle Accident,0,12-25
Police Involved Motor Vehicle Accident,0,01-26
Press Releases/PIO Requests,9,01-25
Press Releases/PIO Requests,4,02-25
Press Releases/PIO Requests,10,03-25
Press Releases/PIO Requests,9,04-25
Press Releases/PIO Requests,5,05-25
Press Releases/PIO Requests,17,06-25
Press Releases/PIO Requests,10,07-25
Press Releases/PIO Requests,7,08-25
Press Releases/PIO Requests,2,09-25
Press Releases/PIO Requests,0,10-25
Press Releases/PIO Requests,0,11-25
Press Releases/PIO Requests,0,12-25
Press Releases/PIO Requests,8,01-26
Review - AB License,0,01-25
Review - AB License,2,02-25
Review - AB License,1,03-25
Review - AB License,1,04-25
Review - AB License,0,05-25
Review - AB License,1,06-25
Review - AB License,1,07-25
Review - AB License,5,08-25
Review - AB License,0,09-25
Review - AB License,0,10-25
Review - AB License,0,11-25
Review - AB License,0,12-25
Review - AB License,0,01-26
Review - Coin License,0,01-25
Review - Coin License,0,02-25
Review - Coin License,0,03-25
Review - Coin License,0,04-25
Review - Coin License,0,05-25
Review - Coin License,0,06-25
Review - Coin License,0,07-25
Review - Coin License,0,08-25
Review - Coin License,0,09-25
Review - Coin License,0,10-25
Review - Coin License,0,11-25
Review - Coin License,0,12-25
Review - Coin License,2,01-26
Review - Command Level - Pursuit,0,01-25
Review - Command Level - Pursuit,0,02-25
Review - Command Level - Pursuit,0,03-25
Review - Command Level - Pursuit,0,04-25
Review - Command Level - Pursuit,0,05-25
Review - Command Level - Pursuit,0,06-25
Review - Command Level - Pursuit,1,07-25
Review - Command Level - Pursuit,0,08-25
Review - Command Level - Pursuit,0,09-25
Review - Command Level - Pursuit,0,10-25
Review - Command Level - Pursuit,0,11-25
Review - Command Level - Pursuit,0,12-25
Review - Command Level - Pursuit,0,01-26
Review - Command Level - SOF,0,01-25
Review - Command Level - SOF,0,02-25
Review - Command Level - SOF,0,03-25
Review - Command Level - SOF,0,04-25
Review - Command Level - SOF,2,05-25
Review - Command Level - SOF,0,06-25
Review - Command Level - SOF,0,07-25
Review - Command Level - SOF,0,08-25
Review - Command Level - SOF,0,09-25
Review - Command Level - SOF,0,10-25
Review - Command Level - SOF,0,11-25
Review - Command Level - SOF,0,12-25
Review - Command Level - SOF,2,01-26
Review - Command Level - UOF,3,01-25
Review - Command Level - UOF,0,02-25
Review - Command Level - UOF,1,03-25
Review - Command Level - UOF,2,04-25
Review - Command Level - UOF,0,05-25
Review - Command Level - UOF,2,06-25
Review - Command Level - UOF,1,07-25
Review - Command Level - UOF,12,08-25
Review - Command Level - UOF,3,09-25
Review - Command Level - UOF,0,10-25
Review - Command Level - UOF,0,11-25
Review - Command Level - UOF,0,12-25
Review - Command Level - UOF,4,01-26
Review - Secondary Employment,0,01-25
Review - Secondary Employment,0,02-25
Review - Secondary Employment,2,03-25
Review - Secondary Employment,1,04-25
Review - Secondary Employment,0,05-25
Review - Secondary Employment,2,06-25
Review - Secondary Employment,1,07-25
Review - Secondary Employment,0,08-25
Review - Secondary Employment,1,09-25
Review - Secondary Employment,0,10-25
Review - Secondary Employment,0,11-25
Review - Secondary Employment,0,12-25
Review - Secondary Employment,1,01-26
Review - Taxi License,0,01-25
Review - Taxi License,0,02-25
Review - Taxi License,0,03-25
Review - Taxi License,0,04-25
Review - Taxi License,0,05-25
Review - Taxi License,0,06-25
Review - Taxi License,0,07-25
Review - Taxi License,0,08-25
Review - Taxi License,0,09-25
Review - Taxi License,0,10-25
Review - Taxi License,0,11-25
Review - Taxi License,0,12-25
Review - Taxi License,0,01-26
Review - Towing License,0,01-25
Review - Towing License,0,02-25
Review - Towing License,0,03-25
Review - Towing License,0,04-25
Review - Towing License,0,05-25
Review - Towing License,0,06-25
Review - Towing License,0,07-25
Review - Towing License,0,08-25
Review - Towing License,0,09-25
Review - Towing License,0,10-25
Review - Towing License,0,11-25
Review - Towing License,0,12-25
Review - Towing License,0,01-26
