Office,Event Name,Location of Event,Event Duration (Hours),Number of Attendees
Community Engagement,Blood Drive,Civic Center,0.5,1
Community Engagement,Hope One Van,Stop & Shop,0.5,1
STA&CP,Criminal Justice Club,High School,1,5
STA&CP,LEAD,Middle School,0.5,1
